"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","Удаление пользователя по username","Pet Store","Fri Feb 27 09:49:54 UTC 2026","passed","Fri Feb 27 09:49:54 UTC 2026","TestUser","User","",""
"","574","Успешное создание нового пользователя","Pet Store","Fri Feb 27 09:49:53 UTC 2026","passed","Fri Feb 27 09:49:53 UTC 2026","TestUser","User","",""
"","82","Получение данных пользователя по username","Pet Store","Fri Feb 27 09:49:54 UTC 2026","passed","Fri Feb 27 09:49:54 UTC 2026","TestUser","User","",""
